10000,137
20000,570
30000,1244
40000,2347
50000,3622
60000,5082
70000,7331
80000,9357
90000,11583
100000,13582
110000,16491
120000,20693
130000,23426
140000,26738
150000,31309
160000,34754
170000,39982
180000,45622
190000,48928
200000,54307
210000,59670
220000,65605
230000,72311
240000,78081
250000,84855
260000,91793
270000,98816
280000,106234
290000,114128
300000,122083
